Vendor List,,,,,,,,,,,,,,,
Category,KW,Vendor name,ADDRESS,Date,Invoice no,HSN NO,item,Specification,Make,Unit ,Unit Rate,GST %,WITH GST,DISCOUNT PRICE,TOTAL
ELECTRICAL,,CASCADE HELIO THERMICS LIMITED,"355/2, abbas garden Road, luna Nagar, Coimbatore - 641 025",8/Sep/2025,CHH25SI-071,8419,Compacta Green - 150,,,Nos,22321.43,12%,25000,,
CHEMICAL,,SUN CHEMICALS ,"72, Gokhale Street, Ram Nagar, Coimbatore",15/Sep/2025,INV/25-26/1740,28080010,Nitric Acid,,,Kgs,60,18%,71,,
CHEMICAL,,,,,,39233090,5 L Can,,,Nos,50,18%,59,,
MS,,OM MURUGA STEELS,"SF.NO: 350, Thadgam Road, T.V.S Nagar, Coimbatore - 641 025",19/Sep/2025,3388/25-26,73066100,MSS Steel Tubes,40x40,,Kgs,61.02,18%,72,,
MS,,,,,,73066100,MSS Steel Tubes,60x40,,Kgs,61.86,18%,73,,
HARDWARE,,SREE MURUGAN HARDWARE & ELECTRICALS,"NO:10/1, A-C, S.M.Palayam Road, G.N.Mills (Po), Coimbatore - 641 026",19/Sep/2025,2481,3814,Smoke Gray ,500 ml,,Nos,127.12,18%,150,,
ROOF,,S V ROOFINGS,"SF.NO 566, D.NO. 5/644-D, Thadagam Road, Somayampalayam (PO), Coimbatore - 641 108",19/Sep/2025,SVR2119,72107000,APL PPGL Steel Galumecoil Offwhite,0.45mm     17.5 Feet,,Sqmt,305.75,18%,361,,
STRUCTURE,,MG SOLAR SOLUTIONS,"No.63, Vanchinatan Street, Alwarthirunagar, Chennai - 600087",20/Sep/2025,MG-2025-26-125,730890,"2 X 5 High Raised Structure             SSH 7ft. NSH 8ft,                                 Leg 80x40x15x2 mm clip channel  Purlin 41x41x2 mm Unit Struct Channel,                                         Rafter 80x40x15x2 mm clip channel, Base Plate 150x150x6 mm,           Cross Bracing 40x3mm angle,   Accessories     ",5 Kw,,Set,19500,18%,23010,,
STRUCTURE,,MG SOLAR SOLUTIONS,"No.63, Vanchinatan Street, Alwarthirunagar, Chennai - 600087",20/Sep/2025,MG-2025-26-125,730890,"12 X 6 Pre Galvanized Structure    SSH 7ft. NSH 8ft,                                 Leg 80x40x15x2 mm clip channel  Purlin 41x41x2 mm Unit Struct Channel,                                         Rafter 80x40x15x2 mm clip channel, Base Plate 150x150x6 mm,           Cross Bracing 40x3mm angle,   Accessories    ",3 Kw,,Set,13000,18%,15340,,
Solar Panel,,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",22/Sep/2025,FSCB/00387/25-26,85414300,Solar Panel,545 wp DCR,ADANI,Nos,14170,5%,14879,,
MEMBERSHIP,,AMAZON SELLER SERVIES PRIVATE LTD,"8 TH Floor, Brigade Gateway, 26/1,Dr.Rajkumar Road, Bangalore - ",26/Sep/2025,IN-40301246,,Annual Membership,,Amazon,Yrs,338.14,18%,399,,
SERVICE,,Sree Sarada Computers,"1/358 Adiyapatham Street, N.G.G.O. Colony, Coimbatore - 641022",25/Sep/2025,SSC2526-186,844399,Hp Printer Service Charge,,HP,Nos,3559.32,18%,4200,,
SERVICE,,Sree Sarada Computers,"1/358 Adiyapatham Street, N.G.G.O. Colony, Coimbatore - 641023",30/Sep/2025,SSC2526-199,998713,Hp Laptop Keyboard,,Hp,Nos,1694.92,18%,2000,,
Electrical,,Tara  Electricals,"343/1, Rangasamy Lane,Thannerpandal, Peelamedu, Coimbatore - 641004",27/Oct/2025,TARA/25-26/1437,85446020,Al ARM Cable,3.5C x 25 Sq.mm,KEI,Mtr,150,18%,177,,
Electrical,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",31-10-20225,CR-12838/25-26,85446090,PVC Cable,4 Sq.mm,Rathnaflex,Mtr,43.59,18%,51,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,90153010,Spririt Level,300mm/30cm,Freemans,Pcs,230,18%,271,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,90178010,Auto Flex Tape,5Mtr,Freemans,Pcs,100,18%,118,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,82034090,Crimping Tools,,Jaison,Pcs,870,18%,1027,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,82041120,Hex Allen Key,6mm,Taparia,Pcs,95,18%,112,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,82054000,Screw Driver (Indicator),,Taparia,Pcs,50,18%,59,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,82119390,Cutter Knife,,Miles,Pcs,45,18%,53,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,82054000,Screw Driver,2 in 1 (140mm),Stanley,Pcs,85,18%,100,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,82032000,Wire Cutter,,Multitech,Pcs,100,18%,118,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,68042210,Cutting Wheel,4'' Diamond Cut (Green),Polymak,Pcs,13,18%,15,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",31/Oct/2025,LTM25-26/35957,82119400,Spare Cutter Blade,,Miles,Pcs,30,18%,35,,
Inverter,5 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",30/Oct/2025,FSCH/05588/25-26,85044090,HYBRID 5 KW INVERTER,5 Kw,DEYE,Nos,75000,5%,78750,,
DCDB,5 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",30/Oct/2025,FSCH/05588/25-26,85362010,DCDB Box ,2 in 2 out 500v,,Nos,4600,18%,5428,,
ACDB,5 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",30/Oct/2025,FSCH/05588/25-26,85362010,ACDB Box,1 in 1 out 1Ph with Change Over,,Nos,4500,18%,5310,,
Battery,5 KW,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",30/Oct/2025,FSCH/05588/25-26,85362010,Battery Box, with DC MCCB,,Nos,4500,18%,5310,,
